actor,movie
Chow Yun-Fat,From Vegas to Macau (2014)
Nicholas Tse,From Vegas to Macau (2014)
Andy Lau,From Vegas to Macau III (2016)
Chow Yun-Fat,From Vegas to Macau III (2016)
Christopher Cazenove,From a Far Country (1981)
Lisa Harrow,From a Far Country (1981)
Sam Neill,From a Far Country (1981)
Clu Gulager,From a Whisper to a Scream (1987)
Martine Beswick,From a Whisper to a Scream (1987)
Vincent Price,From a Whisper to a Scream (1987)
Amr Waked,From an Eye Look (2004)
Mona Zaki,From an Eye Look (2004)
Sawsan Badr,From an Eye Look (2004)
Alexandros Logothetis,From the Earth to the Moon (2013)
Manos Vakousis,From the Earth to the Moon (2013)
Stratos George o'Glou,From the Earth to the Moon (2013)
Elizabeth Perkins,From the Hip (1987)
John Hurt,From the Hip (1987)
Judd Nelson,From the Hip (1987)
Alex Brendemühl,From the Land of the Moon (2016)
Louis Garrel,From the Land of the Moon (2016)
Marion Cotillard,From the Land of the Moon (2016)
Michael Clarke Duncan,From the Rough (2011)
Taraji P. Henson,From the Rough (2011)
Tom Felton,From the Rough (2011)
Joe Pantoliano,From the Vine (2019)
Marco Leonardi,From the Vine (2019)
Paula Brancati,From the Vine (2019)
Dono Warkop,"Front OK, Behind OK (1987)"
Indro Warkop,"Front OK, Behind OK (1987)"
Kasino Warkop,"Front OK, Behind OK (1987)"
Michael Hui,Front Page (1990)
Ricky Hui,Front Page (1990)
Sam Hui,Front Page (1990)
Ed Harris,Frontera (2014)
Eva Longoria,Frontera (2014)
Michael Peña,Frontera (2014)
Kazuki Kitamura,Frontier Dreams (2004)
Tôru Kazama,Frontier Dreams (2004)
Yasuko Tomita,Frontier Dreams (2004)
Jason London,Frontline (1999)
Lenny von Dohlen,Frontline (1999)
Rya Kihlstedt,Frontline (1999)
Frank Langella,Frost/Nixon (2008)
Kevin Bacon,Frost/Nixon (2008)
Michael Sheen,Frost/Nixon (2008)
Emma Bell,Frozen (2010)
Kevin Zegers,Frozen (2010)
Shawn Ashmore,Frozen (2010)
Idina Menzel,Frozen (2013)
Jonathan Groff,Frozen (2013)
Kristen Bell,Frozen (2013)
Corbin Bernsen,Frozen Assets (1992)
Larry Miller,Frozen Assets (1992)
Shelley Long,Frozen Assets (1992)
Idina Menzel,Frozen II (2019)
Josh Gad,Frozen II (2019)
Kristen Bell,Frozen II (2019)
Jasper Pääkkönen,Frozen Land (2005)
Mikko Leppilampi,Frozen Land (2005)
Pamela Tola,Frozen Land (2005)
Carmelo Gómez,Frozen Silence (2011)
Juan Diego Botto,Frozen Silence (2011)
Víctor Clavijo,Frozen Silence (2011)
Bo Derek,Frozen with Fear (2001)
Stephen Shellen,Frozen with Fear (2001)
Wayne Rogers,Frozen with Fear (2001)
Do Do Cheng,Frugal Game (2002)
Eason Chan,Frugal Game (2002)
Miriam Yeung,Frugal Game (2002)
Melonie Diaz,Fruitvale Station (2013)
Michael B. Jordan,Fruitvale Station (2013)
Octavia Spencer,Fruitvale Station (2013)
Digangana Suryavanshi,FryDay (2018)
Govinda,FryDay (2018)
Varun Sharma,FryDay (2018)
Eric Tsang,Fu xing lin men (1989)
Jacky Cheung,Fu xing lin men (1989)
Man-Chung Lam,Fu xing lin men (1989)
Ben Cotton,Fu*king Idiots (2020)
Sara Canning,Fu*king Idiots (2020)
Stephen Lobo,Fu*king Idiots (2020)
John Arcilla,Fuchsia Libre (2024)
Paolo Contis,Fuchsia Libre (2024)
Anders Baasmo,Fuck Up (2012)
Jon Øigarden,Fuck Up (2012)
Tuva Novotny,Fuck Up (2012)
Jean Yanne,Fucking Fernand (1987)
Marie Laforêt,Fucking Fernand (1987)
Thierry Lhermitte,Fucking Fernand (1987)
Harland Williams,Fudgy Wudgy Fudge Face (2010)
François-Eric Gendron,Fuego eterno (1985)
Imanol Arias,Fuego eterno (1985)
Ángela Molina,Fuego eterno (1985)
Hidetaka Yoshioka,Fueled: The Man They Called 'Pirate' (2016)
Jun'ichi Okada,Fueled: The Man They Called 'Pirate' (2016)
Shôta Sometani,Fueled: The Man They Called 'Pirate' (2016)
Armando Hernández,Fuera del cielo (2006)
Damián Alcázar,Fuera del cielo (2006)
Demián Bichir,Fuera del cielo (2006)
Prarthana Behere,Fugay (2017)
Subodh Bhave,Fugay (2017)
Swapnil Joshi,Fugay (2017)
Rade Serbedzija,Fugitive Pieces (2007)
Rosamund Pike,Fugitive Pieces (2007)
Stephen Dillane,Fugitive Pieces (2007)
John Leguizamo,Fugly! (2014)
Radha Mitchell,Fugly! (2014)
Rosie Perez,Fugly! (2014)
Gabriela Muskala,Fugue (2018)
Lukasz Simlat,Fugue (2018)
Malgorzata Buczkowska,Fugue (2018)
Ali Fazal,Fukrey Returns (2017)
Pulkit Samrat,Fukrey Returns (2017)
Varun Sharma,Fukrey Returns (2017)
Jayasurya,Fukri (2017)
Lal,Fukri (2017)
Ken Watanabe,Fukushima 50 (2020)
Riho Yoshioka,Fukushima 50 (2020)
Takumi Saitô,Fukushima 50 (2020)
Hal Yamanouchi,Fukushima: A Nuclear Story (2015)
Massimo Dapporto,Fukushima: A Nuclear Story (2015)
Willem Dafoe,Fukushima: A Nuclear Story (2015)
Makarand Anaspure,Full 3 Dhamaal (2008)
Prasad Oak,Full 3 Dhamaal (2008)
Priya Arun Berde,Full 3 Dhamaal (2008)
Amanda Lee,Full Alert (1997)
Ching-Wan Lau,Full Alert (1997)
Francis Ng,Full Alert (1997)
David La Haye,Full Blast (1999)
Louise Portal,Full Blast (1999)
Martin Desgagné,Full Blast (1999)
Ann Bridgewater,Full Contact (1992)
Chow Yun-Fat,Full Contact (1992)
Simon Yam,Full Contact (1992)
Grégoire Colin,Full Contact (2015)
Lizzie Brocheré,Full Contact (2015)
Slimane Dazi,Full Contact (2015)
David Hyde Pierce,Full Frontal (2002)
Julia Roberts,Full Frontal (2002)
Barbie Doll,Full Metal Bikini (1988)
Nikki Cherry,Full Metal Bikini (1988)
Nina DePonca,Full Metal Bikini (1988)
Matthew Modine,Full Metal Jacket (1987)
R. Lee Ermey,Full Metal Jacket (1987)
Vincent D'Onofrio,Full Metal Jacket (1987)
Burgess Meredith,Full Moon in Blue Water (1988)
Gene Hackman,Full Moon in Blue Water (1988)
Teri Garr,Full Moon in Blue Water (1988)
Jackson Yee,Full River Red (2023)
Teng Shen,Full River Red (2023)
Yi Zhang,Full River Red (2023)
Pascal Cervo,Full Speed (1996)
Stéphane Rideau,Full Speed (1996)
Élodie Bouchez,Full Speed (1996)
Ekin Cheng,Full Strike (2015)
Josie Ho,Full Strike (2015)
Ronald Cheng,Full Strike (2015)
Andy Lau,Full Throttle (1995)
Gigi Leung,Full Throttle (1995)
Kate Mara,Full of It (2007)
Ryan Pinkston,Full of It (2007)
Teri Polo,Full of It (2007)
Dean Fujioka,Fullmetal Alchemist (2017)
Ryôsuke Yamada,Fullmetal Alchemist (2017)
Tsubasa Honda,Fullmetal Alchemist (2017)
Dean Fujioka,Fullmetal Alchemist: Final Transmutation (2022)
Ryôsuke Yamada,Fullmetal Alchemist: Final Transmutation (2022)
Tsubasa Honda,Fullmetal Alchemist: Final Transmutation (2022)
Mackenyu,Fullmetal Alchemist: The Revenge of Scar (2022)
Ryôsuke Yamada,Fullmetal Alchemist: The Revenge of Scar (2022)
Tsubasa Honda,Fullmetal Alchemist: The Revenge of Scar (2022)
Andy Lau,Fulltime Killer (2001)
Kelly Lin,Fulltime Killer (2001)
Takashi Sorimachi,Fulltime Killer (2001)
Beth Grant,Fully Realized Humans (2020)
Jess Weixler,Fully Realized Humans (2020)
Joshua Leonard,Fully Realized Humans (2020)
Denden,Fumiko's Legs (2018)
Shôdai Fukuyama,Fumiko's Legs (2018)
Yasushi Fuchikami,Fumiko's Legs (2018)
Alicia Witt,Fun (1994)
Renée Humphrey,Fun (1994)
William R. Moses,Fun (1994)
Carlo Verdone,Fun Is Beautiful (1980)
Im Won-hee,Fun Movie (2002)
Kim Jeong-eun,Fun Movie (2002)
Govardhan Asrani,Fun in the Army (2008)
Lillete Dubey,Fun in the Army (2008)
Rajpal Naurang Yadav,Fun in the Army (2008)
Alec Baldwin,Fun with Dick and Jane (2005)
Jim Carrey,Fun with Dick and Jane (2005)
Téa Leoni,Fun with Dick and Jane (2005)
Gian Maria Volontè,"Funes, a Great Love (1993)"
Graciela Borges,"Funes, a Great Love (1993)"
Chizuru Ikewaki,Funky Forest: The First Contact (2005)
Kazue Fukiishi,Funky Forest: The First Contact (2005)
Machiko Ono,Funky Forest: The First Contact (2005)
Justin Chatwin,Funkytown (2011)
Patrick Huard,Funkytown (2011)
Paul Doucet,Funkytown (2011)
Christine Lahti,Funny About Love (1990)
Gene Wilder,Funny About Love (1990)
Mary Stuart Masterson,Funny About Love (1990)
Andrea Riseborough,Funny Birds (2024)
Catherine Deneuve,Funny Birds (2024)
Morgan Saylor,Funny Birds (2024)
Jerry Lewis,Funny Bones (1995)
Lee Evans,Funny Bones (1995)
Oliver Platt,Funny Bones (1995)
Joslyn Jensen,Funny Bunny (2015)
Kentucker Audley,Funny Bunny (2015)
Olly Alexander,Funny Bunny (2015)
Federico Luppi,Funny Dirty Little War (1983)
Héctor Bidonde,Funny Dirty Little War (1983)
Víctor Laplace,Funny Dirty Little War (1983)
Eric Tsang,Funny Face (1985)
Niu Tien,Funny Face (1985)
Pu-Liao Hsu,Funny Face (1985)
Arno Frisch,Funny Games (1997)
Susanne Lothar,Funny Games (1997)
Ulrich Mühe,Funny Games (1997)
Michael Pitt,Funny Games (2007)
Naomi Watts,Funny Games (2007)
Tim Roth,Funny Games (2007)
Elvina Kong,Funny Ghost (1989)
Pak-Cheung Chan,Funny Ghost (1989)
Sandra Ng,Funny Ghost (1989)
Armand Assante,Funny Money (2006)
Chevy Chase,Funny Money (2006)
Penelope Ann Miller,Funny Money (2006)
Adam Sandler,Funny People (2009)
Leslie Mann,Funny People (2009)
Seth Rogen,Funny People (2009)
Anthony Chan,Funny Triple (1985)
Eric Tsang,Funny Triple (1985)
Pak-Cheung Chan,Funny Triple (1985)
Aimi Satsukawa,"Funuke: Show Some Love, You Losers! (2007)"
Eriko Satô,"Funuke: Show Some Love, You Losers! (2007)"
Hiromi Nagasaku,"Funuke: Show Some Love, You Losers! (2007)"
Fumi Hirano,Fureru (2024)
Ryôta Bandô,Fureru (2024)
Takuya Eguchi,Fureru (2024)
Marion Cotillard,Furia (1999)
Stanislas Merhar,Furia (1999)
Wadeck Stanczak,Furia (1999)
Erina Aoyama,Furin dôsôkai: Shizakari jukujo (2007)
Takashi Naha,Furin dôsôkai: Shizakari jukujo (2007)
Yûya Matsuura,Furin dôsôkai: Shizakari jukujo (2007)
Hotaru Hazuki,Furin nikki: Nureta mama mô ichidô (1996)
Kazuhiro Sano,Furin nikki: Nureta mama mô ichidô (1996)
Takeshi Itô,Furin nikki: Nureta mama mô ichidô (1996)
Anya Taylor-Joy,Furiosa: A Mad Max Saga (2024)
Chris Hemsworth,Furiosa: A Mad Max Saga (2024)
Tom Burke,Furiosa: A Mad Max Saga (2024)
Dwayne Johnson,Furious 7 (2015)
Paul Walker,Furious 7 (2015)
Vin Diesel,Furious 7 (2015)
Edgar Ramírez,Furlough (2018)
Melissa Leo,Furlough (2018)
Tessa Thompson,Furlough (2018)
Ellen Chan,Fury (1988)
Michael Wong,Fury (1988)
Waise Lee,Fury (1988)
Brad Pitt,Fury (2014)
Logan Lerman,Fury (2014)
Shia LaBeouf,Fury (2014)
Eddie Garcia,Fuschia (2009)
Gloria Romero,Fuschia (2009)
Robert Arevalo,Fuschia (2009)
Atsushi Abe,Fusé: Memoirs of the Hunter Girl (2012)
Keiji Fujiwara,Fusé: Memoirs of the Hunter Girl (2012)
Kenji Hamada,Fusé: Memoirs of the Hunter Girl (2012)
Yoko Honna,Futari Wa Pretty Cure Max Heart the Movie 2: Friends of the Snow-Laden Sky (2005)
Yukana,Futari Wa Pretty Cure Max Heart the Movie 2: Friends of the Snow-Laden Sky (2005)
Yoko Honna,Futari wa Pretty Cure Max Heart: The Movie (2005)
Yukana,Futari wa Pretty Cure Max Heart: The Movie (2005)
Ichirô Zaitsu,Futatabi (2010)
Ryohei Suzuki,Futatabi (2010)
Takanori Jinnai,Futatabi (2010)
Andy Lau,Future Cops (1993)
Jacky Cheung,Future Cops (1993)
Jeff Wincott,Future Fear (1997)
Maria Ford,Future Fear (1997)
Stacy Keach,Future Fear (1997)
Chris Penn,Future Kick (1991)
Don Wilson,Future Kick (1991)
Meg Foster,Future Kick (1991)
Brion James,Future Shock (1994)
Martin Kove,Future Shock (1994)
Vivian Schilling,Future Shock (1994)
Andy Lau,Future X-Cops (2010)
Barbie Hsu,Future X-Cops (2010)
Bingbing Fan,Future X-Cops (2010)
Kôki Uchiyama,Fuuto PI: Portrait of Kamen Rider Skull (2024)
Yoshimasa Hosoya,Fuuto PI: Portrait of Kamen Rider Skull (2024)
Cherry Hill,G Spot Girls (1988)
Don Fernando,G Spot Girls (1988)
Fallon,G Spot Girls (1988)
Julian Cheung,G Storm (2021)
Kevin Cheng,G Storm (2021)
Louis Koo,G Storm (2021)
Ayaka Miyoshi,G'mor Evian! (2012)
Kumiko Asô,G'mor Evian! (2012)
Yô Ôizumi,G'mor Evian! (2012)
Penélope Cruz,G-Force (2009)
Will Arnett,G-Force (2009)
Zach Galifianakis,G-Force (2009)
Bobcat Goldthwait,G-Men from Hell (2000)
Tate Donovan,G-Men from Hell (2000)
William Forsythe,G-Men from Hell (2000)
George Payne,G-strings (1984)
Kelly Nichols,G-strings (1984)
Anne Bancroft,G.I. Jane (1997)
Demi Moore,G.I. Jane (1997)
Viggo Mortensen,G.I. Jane (1997)
Adrianne Palicki,G.I. Joe: Retaliation (2013)
Channing Tatum,G.I. Joe: Retaliation (2013)
Dwayne Johnson,G.I. Joe: Retaliation (2013)
Channing Tatum,G.I. Joe: The Rise of Cobra (2009)
Dennis Quaid,G.I. Joe: The Rise of Cobra (2009)
Marlon Wayans,G.I. Joe: The Rise of Cobra (2009)
David Carradine,G.O.D. (2001)
Jalal Merhi,G.O.D. (2001)
Olivier Gruner,G.O.D. (2001)
Cem Yılmaz,G.O.R.A. (2004)
Atsushi Arai,GACHI-BAN: WORST MAX (2012)
Masataka Kubota,GACHI-BAN: WORST MAX (2012)
Tomoki Hirose,GACHI-BAN: WORST MAX (2012)
Donny Pangilinan,GG (Good Game) (2024)
Maricel Laxa,GG (Good Game) (2024)
Marina Hands,GHB: To Be or Not to Be (2014)
Chiaki Kuriyama,GS Wonderland (2008)
Hiro Mizushima,GS Wonderland (2008)
Takuya Ishida,GS Wonderland (2008)
Daniel Olbrychski,Ga-ga: Glory to the Heroes (1986)
Jerzy Stuhr,Ga-ga: Glory to the Heroes (1986)
Katarzyna Figura,Ga-ga: Glory to the Heroes (1986)
Dindo Fernando,Gaano kadalas ang minsan? (1982)
Hilda Koronel,Gaano kadalas ang minsan? (1982)
Vilma Santos,Gaano kadalas ang minsan? (1982)
Ashok Saraf,Gaav Tase Changle Pun Veshila Tangale (1985)
Nilu Phule,Gaav Tase Changle Pun Veshila Tangale (1985)
Usha Naik,Gaav Tase Changle Pun Veshila Tangale (1985)
Jagapathi Babu,Gaayam (1993)
Kota Srinivasa Rao,Gaayam (1993)
Revathi,Gaayam (1993)
Jagapathi Babu,Gaayam 2 (2010)
Vimala Raman,Gaayam 2 (2010)
Akshay Kumar,Gabbar Is Back (2015)
Shruti Haasan,Gabbar Is Back (2015)
Abhimanyu Singh,Gabbar Singh (2012)
Pawan Kalyan,Gabbar Singh (2012)
Shruti Haasan,Gabbar Singh (2012)
Boti Bliss,Gabe the Cupid Dog (2012)
Brian Krause,Gabe the Cupid Dog (2012)
Linden Ashby,Gabe the Cupid Dog (2012)
Dindo Fernando,"Gabi na, kumander (1986)"
Eddie Garcia,"Gabi na, kumander (1986)"
Phillip Salvador,"Gabi na, kumander (1986)"
Brooke Bloom,Gabi on the Roof in July (2010)
Lawrence Michael Levine,Gabi on the Roof in July (2010)
Sophia Takal,Gabi on the Roof in July (2010)
Mahmoud Azizi,Gabra's Silence (2019)
Mehdi Faghih,Gabra's Silence (2019)
Saideh Arab,Gabra's Silence (2019)
David Call,Gabriel (2014)
Deirdre O'Connell,Gabriel (2014)
Rory Culkin,Gabriel (2014)
Giulio Berruti,Gabriel's Inferno: Part One (2020)
James Andrew Fraser,Gabriel's Inferno: Part One (2020)
Melanie Zanetti,Gabriel's Inferno: Part One (2020)
Giulio Berruti,Gabriel's Rapture (2021)
James Andrew Fraser,Gabriel's Rapture (2021)
Melanie Zanetti,Gabriel's Rapture (2021)
Giulio Berruti,Gabriel's Rapture: Part Three (2022)
James Andrew Fraser,Gabriel's Rapture: Part Three (2022)
Melanie Zanetti,Gabriel's Rapture: Part Three (2022)
Giulio Berruti,Gabriel's Rapture: Part Two (2022)
James Andrew Fraser,Gabriel's Rapture: Part Two (2022)
Melanie Zanetti,Gabriel's Rapture: Part Two (2022)
Agnes Albright,Gabriel's Redemption: Part Two (2023)
Giulio Berruti,Gabriel's Redemption: Part Two (2023)
Melanie Zanetti,Gabriel's Redemption: Part Two (2023)
Jaime Gomez,Gabriela (2001)
Seidy Lopez,Gabriela (2001)
Zach Galligan,Gabriela (2001)
Benjamin Biolay,Gaby Baby Doll (2014)
Félix Moati,Gaby Baby Doll (2014)
Lolita Chammah,Gaby Baby Doll (2014)
Ayame Gôriki,Gacchaman (2013)
Gô Ayano,Gacchaman (2013)
Tôri Matsuzaka,Gacchaman (2013)
Ameesha Patel,Gadar: Ek Prem Katha (2001)
Amrish Puri,Gadar: Ek Prem Katha (2001)
Sunny Deol,Gadar: Ek Prem Katha (2001)
Harish,Gaddaar (1995)
Sonali Bendre,Gaddaar (1995)
Suniel Shetty,Gaddaar (1995)
Atharvaa Murali,Gaddalakonda Ganesh (2019)
Pooja Hegde,Gaddalakonda Ganesh (2019)
Varun Tej,Gaddalakonda Ganesh (2019)
Ammy Virk,Gaddi Jaandi Ae Chalaangaan Maardi (2023)
Binnu Dhillon,Gaddi Jaandi Ae Chalaangaan Maardi (2023)
Hardip Gill,Gaddi Jaandi Ae Chalaangaan Maardi (2023)
Jay Manalo,Gagamboy (2004)
Vhong Navarro,Gagamboy (2004)
Nagarjuna Akkineni,Gaganam (2011)
Poonam Kaur,Gaganam (2011)
Prakash Raj,Gaganam (2011)
Ankush Chaudhari,Gaiir (2009)
Ila Bhate,Gaiir (2009)
Ajay Devgn,Gair (1999)
Raveena Tandon,Gair (1999)
Govinda,Gair Kaanooni (1989)
Kimi Katkar,Gair Kaanooni (1989)
Sridevi,Gair Kaanooni (1989)
Aruna Balraj,Gaja (2008)
Ashalatha,Gaja (2008)
Devaraj,Gaja (2008)
Madhuri Dixit,Gaja Gamini (2000)
M.S. Bhaskar,Gajendra (2004)
Rajat Bedi,Gajendra (2004)
Sarath Babu,Gajendra (2004)
Donatella Finocchiaro,Galantuomini (2008)
Fabrizio Gifuni,Galantuomini (2008)
Giuseppe Fiorello,Galantuomini (2008)
Masako Ikeda,Galaxy Express 999 (1979)
Masako Nozawa,Galaxy Express 999 (1979)
Yôko Asagami,Galaxy Express 999 (1979)
Kaneta Kimotsuki,Galaxy Express 999: Eternal Fantasy (1998)
Masako Ikeda,Galaxy Express 999: Eternal Fantasy (1998)
Masako Nozawa,Galaxy Express 999: Eternal Fantasy (1998)
Kaneta Kimotsuki,Galaxy Express 999: To the Center of the Universe! (2000)
Masako Ikeda,Galaxy Express 999: To the Center of the Universe! (2000)
Masako Nozawa,Galaxy Express 999: To the Center of the Universe! (2000)
Alan Rickman,Galaxy Quest (1999)
Sigourney Weaver,Galaxy Quest (1999)
Tim Allen,Galaxy Quest (1999)
Akshaye Khanna,Gali Gali Chor Hai (2012)
Mugdha Godse,Gali Gali Chor Hai (2012)
Shriya Saran,Gali Gali Chor Hai (2012)
Isabella Rossellini,Gallant Ladies (1990)
Marianne Basler,Gallant Ladies (1990)
Richard Bohringer,Gallant Ladies (1990)
Bill Kerr,Gallipoli (1981)
Mark Lee,Gallipoli (1981)
Mel Gibson,Gallipoli (1981)
Erica Rivas,Gallito Ciego (2001)
Héctor Bidonde,Gallito Ciego (2001)
Rodrigo de la Serna,Gallito Ciego (2001)
Kevin Howarth,Gallowwalkers (2012)
Riley Smith,Gallowwalkers (2012)
Wesley Snipes,Gallowwalkers (2012)
B.N. Sharma,Galwakdi (2022)
Tarsem Jassar,Galwakdi (2022)
Wamiqa Gabbi,Galwakdi (2022)
Alan Rickman,Gambit (2012)
Cameron Diaz,Gambit (2012)
Colin Firth,Gambit (2012)
Aditya Pancholi,Gambler (1995)
Govinda,Gambler (1995)
Shilpa Shetty Kundra,Gambler (1995)
Danny Lee,Gambler's Delight (1981)
Hua Tsung,Gambler's Delight (1981)
Ping Chen,Gambler's Delight (1981)
Jacqueline Ng,Gambling Baron (1994)
Mok Siu-Chung,Gambling Baron (1994)
Roy Cheung,Gambling Baron (1994)
Aditya Pancholi,Game (1993)
Naseeruddin Shah,Game (1993)
Rahul Roy,Game (1993)
Naohito Fujiki,Game (2003)
Ryûdô Uzaki,Game (2003)
Yukie Nakama,Game (2003)
Sameer Dharmadhikari,Game (2007)
Sherlyn Chopra,Game (2007)
Abhishek Bachchan,Game (2011)
Anupam Kher,Game (2011)
Kangana Ranaut,Game (2011)
Arjun Sarja,Game (2016)
Manisha Koirala,Game (2016)
Shaam,Game (2016)
Griffin Dunne,Game 6 (2005)
Michael Keaton,Game 6 (2005)
Robert Downey Jr.,Game 6 (2005)
Aaron Kwok,Game Kids (1992)
Andy Lau,Game Kids (1992)
Rosamund Kwan,Game Kids (1992)
Jason Bateman,Game Night (2018)
Kyle Chandler,Game Night (2018)
Rachel McAdams,Game Night (2018)
Debbie Rochon,Game Over (2009)
Nicola Fiore,Game Over (2009)
Raine Brown,Game Over (2009)
Mai Ezz Eldin,Game Over (2012)
Youssra,Game Over (2012)
Gurleen Chopra,Game Over (2017)
Rajesh Sharma,Game Over (2017)
Yashpal Sharma,Game Over (2017)
Joan Collins,Game for Vultures (1979)
Richard Harris,Game for Vultures (1979)
Richard Roundtree,Game for Vultures (1979)
Abhay Bhargava,Game of Ayodhya (2017)
Arun Bakshi,Game of Ayodhya (2017)
Makrand Deshpande,Game of Ayodhya (2017)
Aunjanue Ellis-Taylor,Game of Death (2011)
Wesley Snipes,Game of Death (2011)
Zoë Bell,Game of Death (2011)
Heather Locklear,Game of Life (2007)
Tom Arnold,Game of Life (2007)
Tom Sizemore,Game of Life (2007)
Gerard Butler,Gamer (2009)
Ludacris,Gamer (2009)
Michael C. Hall,Gamer (2009)
Miki Mizuno,Gamera 2: Attack of the Legion (1996)
Tamotsu Ishibashi,Gamera 2: Attack of the Legion (1996)
Toshiyuki Nagashima,Gamera 2: Attack of the Legion (1996)
Barbara Moose,Gamines en chaleur (1979)
Cyril Val,Gamines en chaleur (1979)
Marilyn Jess,Gamines en chaleur (1979)
Aleksandr Abdulov,Gamlet (1989)
Inna Churikova,Gamlet (1989)
Oleg Yankovskiy,Gamlet (1989)
Gary Estrada,Gamugamong dagat (1999)
Klaudia Koronel,Gamugamong dagat (1999)
Leandro Baldemor,Gamugamong dagat (1999)
Allari Naresh,Gamyam (2008)
Kamalinee Mukherjee,Gamyam (2008)
Sharwanand,Gamyam (2008)
Josephine Siao,Gan yan gwai (1984)
Lung Ti,Gan yan gwai (1984)
Shih Kien,Gan yan gwai (1984)
Kriti Sanon,Ganapath (2023)
Tiger Shroff,Ganapath (2023)
Daniel Padilla,Gandarrapiddo: The Revenger Squad (2017)
Vice Ganda,Gandarrapiddo: The Revenger Squad (2017)
Ben Kingsley,Gandhi (1982)
John Gielgud,Gandhi (1982)
Rohini Hattangadi,Gandhi (1982)
Akshaye Khanna,"Gandhi, My Father (2007)"
Darshan Jariwala,"Gandhi, My Father (2007)"
Shefali Shah,"Gandhi, My Father (2007)"
Madhoo,Ganesh (1998)
Rambha,Ganesh (1998)
Venkatesh Daggubati,Ganesh (1998)
Kajal Aggarwal,Ganesh (2009)
Poonam Kaur,Ganesh (2009)
Ram Pothineni,Ganesh (2009)
Jackie Shroff,Gang (2000)
Kumar Gaurav,Gang (2000)
Nana Patekar,Gang (2000)
Kartikeya Gummakonda,Gang Leader (2019)
Lakshmi,Gang Leader (2019)
Nani,Gang Leader (2019)
Austin Wai,Gang Master (1982)
Chen Kuan-Tai,Gang Master (1982)
Jason Piao Pai,Gang Master (1982)
Jim Belushi,Gang Related (1997)
Lela Rochon,Gang Related (1997)
Tupac Shakur,Gang Related (1997)
Govardhan Asrani,Gang of Ghosts (2014)
Mahie Gill,Gang of Ghosts (2014)
Sharman Joshi,Gang of Ghosts (2014)
Chih-Hsi Li,Gang of Three Forever (1989)
Kuei-Ying Hsu,Gang of Three Forever (1989)
Shih Chang,Gang of Three Forever (1989)
Mihir Das,Ganga Jamuna (1997)
Rachana Banerjee,Ganga Jamuna (1997)
Siddhanta Mahapatra,Ganga Jamuna (1997)
Amitabh Bachchan,Ganga Ki Saugand (1978)
Amjad Khan,Ganga Ki Saugand (1978)
Rekha,Ganga Ki Saugand (1978)
Dharmendra,Ganga Tere Desh Mein (1988)
Jaya Prada,Ganga Tere Desh Mein (1988)
Shatrughan Sinha,Ganga Tere Desh Mein (1988)
Amitabh Bachchan,Gangaa Jamunaa Saraswathi (1988)
Jaya Prada,Gangaa Jamunaa Saraswathi (1988)
Mithun Chakraborty,Gangaa Jamunaa Saraswathi (1988)
Ajay Devgn,Gangaajal (2003)
Gracy Singh,Gangaajal (2003)
Mohan Joshi,Gangaajal (2003)
Ferdous Ahmed,Gangajatra (2009)
Sadika Parvin Popy,Gangajatra (2009)
Shimla,Gangajatra (2009)
Anjana Sultana,Gangchil (1980)
Anowara,Gangchil (1980)
Bulbul Ahmed,Gangchil (1980)
Costas Mandylor,Gangland (2001)
Kathleen Kinmont,Gangland (2001)
Sasha Mitchell,Gangland (2001)
Alex Man,Gangland Odyssey (1988)
Jen-Lei Chen,Gangland Odyssey (1988)
Niu Tien,Gangland Odyssey (1988)
Adil Hussain,Gangor (2010)
Priyanka Bose,Gangor (2010)
Tillotama Shome,Gangor (2010)
Amir Aghaee,Gangs (2010)
Mohsen Afshani,Gangs (2010)
Pardis Afkari,Gangs (2010)
Anjali,Gangs of Godavari (2024)
Nassar,Gangs of Godavari (2024)
Vishwak Sen,Gangs of Godavari (2024)
Cameron Diaz,Gangs of New York (2002)
Daniel Day-Lewis,Gangs of New York (2002)
Leonardo DiCaprio,Gangs of New York (2002)
Rosyam Nor,Gangster (2005)
Emraan Hashmi,Gangster (2006)
Kangana Ranaut,Gangster (2006)
Shiney Ahuja,Gangster (2006)
Bratya Basu,Gangster (2016)
Mimi Chakraborty,Gangster (2016)
Yash Daasguptaa,Gangster (2016)
David Thewlis,Gangster No. 1 (2000)
Malcolm McDowell,Gangster No. 1 (2000)
Paul Bettany,Gangster No. 1 (2000)
Anthony Chau-Sang Wong,Gangster Payday (2014)
Charlene Choi,Gangster Payday (2014)
You-Nam Wong,Gangster Payday (2014)
Emma Stone,Gangster Squad (2013)
Ryan Gosling,Gangster Squad (2013)
Sean Penn,Gangster Squad (2013)
Kader Khan,Gangvaa (1984)
Rajinikanth,Gangvaa (1984)
Shabana Azmi,Gangvaa (1984)
Angeli Khang,Ganti-Ganti (2023)
Mark Anthony Fernandez,Ganti-Ganti (2023)
Yen Durano,Ganti-Ganti (2023)
Kanata Hongô,Gantz (2010)
Kazunari Ninomiya,Gantz (2010)
Ken'ichi Matsuyama,Gantz (2010)
Daisuke Ono,Gantz: O (2016)
Mao Ichimichi,Gantz: O (2016)
Tomohiro Kaku,Gantz: O (2016)
Kazunari Ninomiya,Gantz: Perfect Answer (2011)
